title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,11/1/2022 11:35,0,4,,1,691,at,50,0.936943,126,Mi,33,52.48,-167.736,"Nikolski, Alaska",,
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,11/1/2022 11:35,0,4,,1,691,pt,20,0,205.2,Mi,33,52.48,-167.736,"Nikolski, Alaska",,
"M 6.8 - 100 km SE of Nikolski, Alaska",6.8,11/1/2022 11:35,7,6,green,1,730,us,0,0.92,61,mww,20,52.6563,-167.917,"Nikolski, Alaska",,
"M 6.6 - 48 km WNW of Pólis, Cyprus",6.6,11/1/2022 1:07,6,6,green,0,976,us,0,1.168,21,mww,21,35.1456,31.9095,"Pólis, Cyprus",Asia,
"M 6.6 - northern Qinghai, China",6.6,7/1/2022 17:45,9,8,orange,0,1012,us,0,2.685,13,mww,13,37.8167,101.299,"northern Qinghai, China",Asia,People's Republic of China
"M 7.3 - 125 km NNE of Lospalos, Timor Leste",7.3,29/12/2021 18:25,8,7,green,0,921,us,0,3.713,19,mww,165.49,-7.5924,127.581,"Lospalos, Timor Leste",,Indonesia
M 7.3 - Flores Sea,7.3,14/12/2021 3:20,9,5,green,1,854,us,0,1.025,32,mww,14.27,-7.6033,122.2,Flores Sea,Asia,Indonesia
"M 7.5 - 43 km NNW of Barranca, Peru",7.5,28/11/2021 10:52,8,8,yellow,1,1094,us,0,4.951,40,mww,126,-4.4898,-76.8461,"Barranca, Peru",South America,Peru
"M 6.6 - 177 km SE of Hirara, Japan",6.6,10/11/2021 15:45,7,4,green,1,688,us,0,3.259,15,mww,12,23.5414,126.48,"Hirara, Japan",,
"M 6.9 - 112 km E of Chignik, Alaska",6.9,11/10/2021 9:10,8,6,green,1,995,ak,0,0,0,mww,51.6,56.2581,-156.492,"Chignik, Alaska",North America,United States of America
M 6.9 - Vanuatu region,6.9,9/10/2021 10:58,4,3,green,1,740,us,0,4.778,31,mww,535,-21.1704,174.54,Vanuatu region,,
M 7.3 - Vanuatu region,7.3,2/10/2021 6:29,4,4,green,1,826,us,0,4.493,32,mww,527,-21.1036,174.895,Vanuatu region,,
"M 6.5 - 80 km SW of Jiquilillo, Nicaragua",6.5,22/9/2021 9:57,7,5,green,1,684,us,0,0.993,114,mww,21,12.1598,-87.8542,"Jiquilillo, Nicaragua",,
"M 7.0 - Acapulco, Mexico",7,8/9/2021 1:47,8,8,red,1,2504,us,0,0.07,43,mww,20,16.9502,-99.7877,"Acapulco, Mexico",North America,Mexico
M 7.1 - South Sandwich Islands region,7.1,22/8/2021 21:33,1,4,green,1,776,us,0,9.799,32,mww,6,-60.3026,-24.9992,South Sandwich Islands region,,Antarctica
M 6.6 - South Sandwich Islands region,6.6,22/8/2021 0:45,1,3,green,1,670,us,0,8.865,19,mww,7,-60.1023,-24.4608,South Sandwich Islands region,,Antarctica
"M 6.9 - 17 km N of Port-Olry, Vanuatu",6.9,18/8/2021 10:10,8,7,green,1,741,us,0,0.579,54,mww,93,-14.892,167.085,"Port-Olry, Vanuatu",Oceania,Vanuatu
M 6.9 - South Sandwich Islands region,6.9,16/8/2021 11:10,6,4,green,1,734,us,0,8.363,48,mww,16.7,-58.3814,-23.3318,South Sandwich Islands region,,
"M 7.2 - Nippes, Haiti",7.2,14/8/2021 12:29,9,8,red,1,2331,us,0,1.178,23,mww,10,18.3521,-73.4804,"Nippes, Haiti",North America,Haiti
"M 6.9 - 136 km SE of Perryville, Alaska",6.9,14/8/2021 11:57,5,4,green,1,738,ak,0,0,0,mww,33.3,55.2364,-157.707,"Perryville, Alaska",,
"M 6.9 - 125 km SE of Perryville, Alaska",6.9,14/8/2021 11:57,5,4,green,1,738,us,0,1.173,36,mww,20.74,55.2657,-157.68,"Perryville, Alaska",,
M 8.1 - South Sandwich Islands region,8.1,12/8/2021 18:35,0,7,green,0,1009,us,0,7.463,78,mww,22.79,-58.4157,-25.3206,South Sandwich Islands region,,
M 7.5 - South Sandwich Islands region,7.5,12/8/2021 18:32,9,6,green,1,868,us,0,7.227,38,mww,47.23,-57.5959,-25.1874,South Sandwich Islands region,,
"M 7.1 - 60 km ENE of Pondaguitan, Philippines",7.1,11/8/2021 17:46,9,7,green,1,846,us,0,1.273,25,mww,55.14,6.4547,126.742,"Pondaguitan, Philippines",,
"M 8.2 - 91 km ESE of Perryville, Alaska",8.2,29/7/2021 6:15,8,6,green,1,1237,us,0,0.875,66,mww,46.66,55.4742,-157.917,"Perryville, Alaska",,
"M 8.2 - 99 km SE of Perryville, Alaska",8.2,29/7/2021 6:15,8,7,yellow,1,1252,ak,0,0,0,mww,35,55.3154,-157.829,"Perryville, Alaska",,
"M 6.7 - 15 km S of Hukay, Philippines",6.7,23/7/2021 20:48,8,5,green,1,935,us,0,8.139,12,mww,110,13.6989,120.713,"Hukay, Philippines",Asia,Philippines
"M 6.7 - 71 km S of Burica, Panama",6.7,21/7/2021 21:15,6,6,green,1,830,us,0,1.395,61,mww,10,7.5904,-82.8813,"Burica, Panama",,
"M 6.5 - Kermadec Islands, New Zealand",6.5,20/6/2021 17:05,0,4,green,1,650,us,0,7.994,24,mww,25,-30.2144,-177.773,"Kermadec Islands, New Zealand",,
"M 6.5 - 265 km SSE of Alo, Wallis and Futuna",6.5,21/5/2021 22:13,5,7,green,1,652,us,0,4.518,44,mww,10,-16.4796,-177.356,"Alo, Wallis and Futuna",,
"M 7.3 - Southern Qinghai, China",7.3,21/5/2021 18:04,9,9,orange,0,1025,us,0,4.655,9,mww,10,34.5861,98.2551,"Southern Qinghai, China",Asia,People's Republic of China
"M 6.7 - 260 km S of Sinabang, Indonesia",6.7,14/5/2021 6:33,8,4,green,0,698,us,0,1.487,37,mww,11,0.1684,96.6475,"Sinabang, Indonesia",,
M 6.7 - Mauritius - Reunion region,6.7,12/5/2021 14:05,9,3,green,0,694,us,0,10.669,45,mww,10,-17.2495,66.3745,Mauritius - Reunion region,,
M 6.9 - ,6.9,1/5/2021 1:27,7,6,green,1,919,us,0,2.619,35,mww,43,38.2296,141.665,,Asia,Japan
"M 6.5 - 207 km WSW of Haveluloto, Tonga",6.5,25/4/2021 22:28,4,4,green,0,651,us,0,5.931,20,mww,246,-21.6857,-177.064,"Haveluloto, Tonga",,
"M 6.5 - 225 km WNW of Pangai, Tonga",6.5,24/4/2021 0:23,6,4,green,0,652,us,0,10.405,19,mww,301,-18.9204,-176.235,"Pangai, Tonga",,
"M 7.0 - 30 km E of Ishinomaki, Japan",7,20/3/2021 9:09,7,7,yellow,1,1052,us,0,2.378,35,mww,43,38.4752,141.607,"Ishinomaki, Japan",Asia,Japan
"M 6.6 - 171 km SSE of Ust’-Kamchatsk Staryy, Russia",6.6,16/3/2021 18:38,5,5,green,1,672,us,0,3.183,18,mww,13.23,54.7018,163.208,"Ust’-Kamchatsk Staryy, Russia",,
M 6.5 - Kermadec Islands region,6.5,4/3/2021 23:12,0,4,green,0,650,us,0,11.764,25,mwb,24,-28.4792,-176.619,Kermadec Islands region,,
"M 8.1 - Kermadec Islands, New Zealand",8.1,4/3/2021 19:28,9,8,green,1,1021,us,0,0.739,21,mww,28.93,-29.7466,-177.224,"Kermadec Islands, New Zealand",,
"M 7.4 - Kermadec Islands, New Zealand",7.4,4/3/2021 17:41,3,7,green,1,843,us,0,0.437,30,mww,43,-29.6131,-177.842,"Kermadec Islands, New Zealand",,
"M 7.3 - 182 km NE of Gisborne, New Zealand",7.3,4/3/2021 13:27,7,6,green,1,932,us,0,0.918,24,mww,10,-37.596,179.544,"Gisborne, New Zealand",,
"M 7.1 - 73 km ENE of Namie, Japan",7.1,13/2/2021 14:07,9,8,orange,1,1612,us,0,3.085,11,mww,43.98,37.6856,141.992,"Namie, Japan",,
M 7.7 - southeast of the Loyalty Islands,7.7,10/2/2021 13:19,9,4,green,1,918,us,0,7.989,15,mww,10,-23.2787,171.489,the Loyalty Islands,,
M 6.9 - South Shetland Islands,6.9,23/1/2021 23:36,9,5,green,1,739,us,0,1.55,16,mww,15,-61.8484,-55.559,South Shetland Islands,,Antarctica
"M 7.0 - 211 km SE of Pondaguitan, Philippines",7,21/1/2021 12:23,7,5,green,1,802,us,0,2.821,15,mww,80,5.0074,127.517,"Pondaguitan, Philippines",,
"M 6.7 - 29 km SSW of Turt, Mongolia",6.7,11/1/2021 21:32,8,8,green,0,776,us,0,2.043,22,mww,10,51.2407,100.443,"Turt, Mongolia",Asia,Mongolia
"M 6.7 - 146 km WNW of Corral, Chile",6.7,27/12/2020 21:39,5,5,green,1,776,us,0,1.319,19,mww,10,-39.3264,-74.9067,"Corral, Chile",,
"M 7.0 - 13 km NNE of Néon Karlovásion, Greece",7,30/10/2020 11:51,8,7,orange,0,1527,us,0,1.518,18,mww,21,37.8973,26.7953,"Néon Karlovásion, Greece",Europe,Greece
"M 7.6 - 99 km SE of Sand Point, Alaska",7.6,19/10/2020 20:54,9,7,yellow,1,1165,us,0,0.23,36,mww,28.37,54.662,-159.675,"Sand Point, Alaska",North America,United States of America
M 6.9 - central Mid-Atlantic Ridge,6.9,18/9/2020 21:43,0,3,green,1,732,us,0,11.255,16,mww,10,0.9604,-26.8332,central Mid-Atlantic Ridge,,
"M 6.5 - 94 km NW of Vallenar, Chile",6.5,1/9/2020 21:09,6,6,green,0,674,us,0,0.388,49,mww,16,-27.9285,-71.3937,"Vallenar, Chile",,
"M 6.8 - 86 km NW of Vallenar, Chile",6.8,1/9/2020 4:09,6,7,green,1,824,us,0,0.312,69,mww,21,-28.013,-71.1958,"Vallenar, Chile",,Chile
M 6.5 - central Mid-Atlantic Ridge,6.5,30/8/2020 21:20,4,5,green,0,651,us,0,15.394,31,mww,10,0.8696,-29.7046,central Mid-Atlantic Ridge,,
"M 6.9 - 222 km SSE of Katabu, Indonesia",6.9,21/8/2020 4:09,4,3,green,0,749,us,0,2.267,20,mww,624,-6.6704,123.493,"Katabu, Indonesia",,Indonesia
"M 6.9 - 122 km WSW of Bengkulu, Indonesia",6.9,18/8/2020 22:29,4,4,green,0,735,us,0,1.716,25,mww,26,-4.2791,101.215,"Bengkulu, Indonesia",,Indonesia
"M 6.8 - 138 km WSW of Bengkulu, Indonesia",6.8,18/8/2020 22:23,5,4,green,0,716,us,0,1.816,34,mww,22,-4.3724,101.095,"Bengkulu, Indonesia",,Indonesia
"M 6.6 - 13 km E of San Pedro, Philippines",6.6,18/8/2020 0:03,9,8,yellow,1,784,us,0,5.128,14,mww,10,12.0065,124.13,"San Pedro, Philippines",,Philippines
"M 7.8 - 99 km SSE of Perryville, Alaska",7.8,22/7/2020 6:12,9,7,green,1,1111,us,0,0.621,60,mww,28,55.1079,-158.477,"Perryville, Alaska",,
"M 7.0 - 114 km NNW of Popondetta, Papua New Guinea",7,17/7/2020 2:50,6,7,green,1,820,us,0,1.671,18,mww,73,-7.847,147.755,"Popondetta, Papua New Guinea",,Papua New Guinea
"M 6.6 - 97 km N of Batang, Indonesia",6.6,6/7/2020 22:54,4,2,green,0,684,us,0,1.458,14,mww,533.76,-5.6368,110.678,"Batang, Indonesia",,Indonesia
"M 7.4 - 9 km SE of Santa María Xadani, Mexico",7.4,23/6/2020 15:29,8,8,orange,1,1494,us,0,0.151,30,mww,20,15.9163,-95.9533,"Santa María Xadani, Mexico",North America,Mexico
M 7.4 - south of the Kermadec Islands,7.4,18/6/2020 12:49,7,7,green,1,873,us,0,4.035,23,mww,10,-33.2938,-177.838,the Kermadec Islands,,
"M 6.6 - 130 km WNW of Naze, Japan",6.6,13/6/2020 15:51,5,4,green,1,734,us,0,2.015,18,mww,165,28.9386,128.262,"Naze, Japan",,
"M 6.8 - 48 km SW of San Pedro de Atacama, Chile",6.8,3/6/2020 7:35,6,6,green,1,835,us,0,1.164,21,mww,112,-23.2966,-68.4204,"San Pedro de Atacama, Chile",South America,Chile
"M 6.5 - Monte Cristo Range, NV Earthquake",6.5,15/5/2020 11:03,7,8,green,0,1320,nn,27,0.357,55.79,ml,2.7,38.1689,-117.85,"Monte Cristo Range, NV Earthquake",North America,United States of America
"M 6.6 - 175 km SSE of Lata, Solomon Islands",6.6,12/5/2020 22:41,4,6,green,1,671,us,0,3.403,12,mww,107,-12.0662,166.648,"Lata, Solomon Islands",,
M 6.8 - Banda Sea,6.8,6/5/2020 13:53,4,6,green,0,738,us,0,1.921,16,mww,96,-6.7762,129.785,Banda Sea,,Indonesia
"M 6.5 - 91 km S of Néa Anatolí, Greece",6.5,2/5/2020 12:51,7,6,green,0,678,us,0,1.293,19,mww,10,34.1818,25.7101,"Néa Anatolí, Greece",,
"M 6.5 - Stanley, Idaho",6.5,31/3/2020 23:52,8,8,green,0,1410,us,0,0.885,31,mww,12.06,44.4646,-115.118,"Stanley, Idaho",North America,United States of America
"M 7.5 - 221 km SSE of Severo-Kuril’sk, Russia",7.5,25/3/2020 2:49,6,5,green,1,879,us,0,4.109,12,mww,57.8,48.9638,157.695,"Severo-Kuril’sk, Russia",,
"M 7.0 - 95 km ENE of Kuril’sk, Russia",7,13/2/2020 10:33,5,6,yellow,1,770,us,0,4.501,25,mww,143,45.6161,148.959,"Kuril’sk, Russia",Asia,Russia
"M 7.7 - 123 km NNW of Lucea, Jamaica",7.7,28/1/2020 19:10,9,6,yellow,1,1812,us,0,1.657,26,mww,14.86,19.4193,-78.756,"Lucea, Jamaica",,
"M 6.7 - 13 km N of Do?anyol, Turkey",6.7,24/1/2020 17:55,8,9,orange,0,1247,us,0,0.87,49,mww,10,38.4312,39.0609,"Do?anyol, Turkey",Asia,Turkey
"M 6.8 - 7 km S of Magsaysay, Philippines",6.8,15/12/2019 6:11,9,7,yellow,1,825,us,0,0.546,39,mww,18,6.6969,125.174,"Magsaysay, Philippines",,Philippines
"M 7.1 - 138km E of Bitung, Indonesia",7.1,14/11/2019 16:17,6,6,green,1,799,us,0,1.271,11,mww,33,1.6213,126.416,"Bitung, Indonesia",,Indonesia
"M 6.5 - 166km SSW of Ndoi Island, Fiji",6.5,8/11/2019 10:44,0,2,green,0,650,us,0,4.765,25,mww,577,-21.9449,-179.511,"Ndoi Island, Fiji",,
"M 6.6 - 136 km W of Neiafu, Tonga",6.6,4/11/2019 22:43,4,4,green,1,673,us,0,5.086,48,mww,10,-18.5747,-175.272,"Neiafu, Tonga",,
"M 6.5 - 2km ESE of Kisante, Philippines",6.5,31/10/2019 1:11,9,7,green,1,733,us,0,0.428,19,mww,10,6.9098,125.178,"Kisante, Philippines",,Philippines
"M 6.6 - 10 km NE of Columbio, Philippines",6.6,29/10/2019 1:04,9,7,yellow,1,780,us,0,0.646,24,mww,15,6.7567,125.008,"Columbio, Philippines",,Philippines
